mode,model,config,total_return,cagr,sharpe,max_drawdown,max_dd_duration_days,win_rate,avg_win,avg_loss,profit_factor,delta_exposure,n_trades,total_costs,total_gross_pnl,cost_pct_gross_pnl,avg_holding_bars,initial_equity,final_equity,bars_processed,pf
B&H,-,equal-weight,1.1932994610251821,0.17473616988691942,1.3000561106833808,-0.26958701419322945,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,100000000.0,219329946.1025182,838.0,
equal-weight,lstm,conf=0.9/hold=75,0.5242897204469645,0.09027421364470989,1.4460963290415798,-0.09249072712467855,54140.0,0.5328846742122973,30071.49998785112,25273.02588649579,1.357397243650525,0.0,13076,10311324.693904229,65481894.49453449,15.74683318724823,7253.48959926583,100000000.0,152428972.04469645,213271.0,
equal-weight,cnn1d,conf=0.9/hold=75,0.450055374421916,0.07917014485133667,1.2876985294497978,-0.10416778369411903,54140.0,0.530885825272298,28547.929461442676,24535.508183502105,1.3167463749851371,0.0,13129,9924980.586093677,57789854.03015968,17.17426138663367,7258.867773630894,100000000.0,145005537.4421916,213271.0,
equal-weight,cnn_lstm,conf=0.9/hold=75,0.4752430038756803,0.08298737571190196,1.319325776038668,-0.10654717202987098,54140.0,0.5312975936643314,29335.080005775795,25035.66212072657,1.3282164693181238,0.0,13132,10137295.872689517,60713648.71991521,16.696897792216355,7235.674611635699,100000000.0,147524300.38756803,213271.0,
conf-weighted,lstm,conf=0.9/hold=75/top20,0.5229605170938503,0.0900792094650813,1.4449883299764836,-0.09254573673526059,54140.0,0.5328846742122973,29994.84030541607,25216.162872395693,1.3569900608906325,0.0,13076,10280978.229673252,65264702.653219536,15.752738941140471,7253.48959926583,100000000.0,152296051.70938504,213271.0,
conf-weighted,cnn1d,conf=0.9/hold=75/top20,0.4506477859742215,0.0792605289496211,1.291493545911941,-0.1040461310363405,54140.0,0.530885825272298,28571.97264392648,24550.060010856938,1.3170741972388778,0.0,13129,9922697.329391573,57865527.050691284,17.147856133236466,7258.867773630894,100000000.0,145064778.59742215,213271.0,
conf-weighted,cnn_lstm,conf=0.9/hold=75/top20,0.47732130781514637,0.08330002649913948,1.3273122579543168,-0.10639464457308839,54140.0,0.5312975936643314,29313.620118270414,24981.258797819683,1.330135249122153,0.0,13132,10120067.613596007,60881547.27818852,16.622553246477086,7235.674611635699,100000000.0,147732130.78151464,213271.0,
top-N,lstm,conf=0.9/hold=75/top20,0.5242897204469645,0.09027421364470989,1.4460963290415798,-0.09249072712467855,54140.0,0.5328846742122973,30071.49998785112,25273.02588649579,1.357397243650525,0.0,13076,10311324.693904229,65481894.49453449,15.74683318724823,7253.48959926583,100000000.0,152428972.04469645,213271.0,
top-N,cnn1d,conf=0.9/hold=75/top20,0.450055374421916,0.07917014485133667,1.2876985294497978,-0.10416778369411903,54140.0,0.530885825272298,28547.929461442676,24535.508183502105,1.3167463749851371,0.0,13129,9924980.586093677,57789854.03015968,17.17426138663367,7258.867773630894,100000000.0,145005537.4421916,213271.0,
top-N,cnn_lstm,conf=0.9/hold=75/top20,0.4752430038756803,0.08298737571190196,1.319325776038668,-0.10654717202987098,54140.0,0.5312975936643314,29335.080005775795,25035.66212072657,1.3282164693181238,0.0,13132,10137295.872689517,60713648.71991521,16.696897792216355,7235.674611635699,100000000.0,147524300.38756803,213271.0,
