model,period,return,sharpe,max_drawdown,n_trades,win_rate,cost_pct
lstm,P1: 2023-Q1 (Jan-Mar),-0.0830831949692169,-1.6593385675410601,-0.13669417942985101,1699,0.4331959976456739,25.329229572442554
lstm,P2: 2023-Q2-Q3 (Apr-Sep),0.33221756017003146,4.6288512123782,-0.04400568691739512,3630,0.5520661157024793,12.28560871620286
lstm,P3: 2023-Q4-2024-Q1 (Oct-Mar),0.4391426948465551,3.536757022552543,-0.11328379819597759,3862,0.553081305023304,10.343615901311999
lstm,P4: 2024-Q2-Q3 (Apr-Sep),0.20626684401246687,1.5333338518190418,-0.1799357134801623,2929,0.5302150904745647,12.804937149195311
cnn1d,P1: 2023-Q1 (Jan-Mar),-0.090507782860615,-1.7650660927334534,-0.1441850016227284,1707,0.4282366725248975,23.5433266110768
cnn1d,P2: 2023-Q2-Q3 (Apr-Sep),0.3367656967435775,4.751107071776676,-0.04419563296758782,3636,0.551980198019802,12.09813554746058
cnn1d,P3: 2023-Q4-2024-Q1 (Oct-Mar),0.44800803797510347,3.6096115684885737,-0.11289839564886152,3872,0.5521694214876033,10.23765109483117
cnn1d,P4: 2024-Q2-Q3 (Apr-Sep),0.18428624605756339,1.3786444377208271,-0.18414328825528128,2935,0.5281090289608177,14.020641667971251
cnn_lstm,P1: 2023-Q1 (Jan-Mar),-0.0874221792686728,-1.723595861328483,-0.14209785060635602,1705,0.4240469208211144,23.35663889318972
cnn_lstm,P2: 2023-Q2-Q3 (Apr-Sep),0.3480943126681917,4.877769427088289,-0.04210653787532814,3642,0.5549148819330039,11.77532379281333
cnn_lstm,P3: 2023-Q4-2024-Q1 (Oct-Mar),0.4504902078949087,3.6218862825993696,-0.11331003906477857,3889,0.5574697865775263,10.12412886705506
cnn_lstm,P4: 2024-Q2-Q3 (Apr-Sep),0.1926372483911143,1.425046527010196,-0.1856781648294196,2943,0.5249745158002038,13.76926573486717
